,Name,Club,Crossing,Finishing,HeadingAccuracy,Volleys,Dribbling,Curve,BallControl,Acceleration,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Positioning,Vision,Marking
33,P. Aubameyang,Arsenal,77,88,79,86,79,80,82,93,70,82,79,76,76,79,90,77,27
34,M. Hummels,FC Bayern München,64,55,87,60,68,65,81,53,60,71,68,66,84,51,56,79,88
35,Marcelo,Real Madrid,90,70,75,54,90,85,92,83,86,83,76,91,78,70,85,82,71
36,G. Bale,Real Madrid,87,86,84,85,87,90,85,94,65,92,87,75,80,91,85,79,54
37,H. Lloris,Tottenham Hotspur,13,10,10,11,10,11,34,65,54,23,74,41,43,14,10,30,29
38,G. Higuaín,Milan,68,92,80,90,84,74,85,73,69,86,79,70,85,80,92,74,35
39,Thiago Silva,Paris Saint-Germain,60,38,81,63,62,61,80,70,68,71,90,74,82,68,59,72,88
40,S. Handanovič,Inter,12,10,10,12,12,12,16,51,36,22,78,41,71,19,12,41,25
41,G. Buffon,Paris Saint-Germain,13,15,13,17,26,20,28,49,49,39,75,39,69,13,12,50,13
42,S. Umtiti,FC Barcelona,69,51,79,70,69,72,77,71,66,83,89,78,84,74,58,58,90
43,M. Icardi,Inter,46,91,91,85,77,58,81,77,76,84,94,72,76,70,92,64,45
44,K. Koulibaly,Napoli,30,19,81,14,66,28,60,68,40,55,81,71,94,15,24,43,91
45,P. Pogba,Manchester United,80,73,73,85,87,84,90,71,64,90,83,88,89,81,81,87,66
46,K. Navas,Real Madrid,11,15,11,11,16,11,19,54,61,21,74,39,75,13,16,68,28
47,R. Lukaku,Manchester United,78,87,86,79,80,74,72,77,46,88,71,84,94,74,89,76,30
48,C. Immobile,Lazio,55,90,81,87,83,70,83,78,63,86,77,80,76,80,91,65,34
49,Jordi Alba,FC Barcelona,87,73,70,60,80,80,84,93,85,64,81,91,61,66,79,70,72
50,D. Mertens,Napoli,77,86,35,70,91,82,89,93,92,80,60,75,42,81,87,83,25
51,J. Vertonghen,Tottenham Hotspur,68,56,80,52,71,58,76,61,60,80,85,75,79,66,60,68,90
52,M. Hamšík,Napoli,78,79,74,79,86,80,87,69,66,82,71,84,67,83,88,86,75
53,I. Rakitić,FC Barcelona,84,83,58,80,84,88,87,66,66,84,39,84,66,90,79,86,72
54,Piqué,FC Barcelona,57,64,83,57,59,58,78,49,36,62,74,65,83,51,58,62,91
55,L. Sané,Manchester City,83,81,72,85,88,82,85,93,81,86,64,79,70,78,84,82,36
56,Bernardo Silva,Manchester City,85,75,51,69,92,83,91,84,88,70,50,78,48,72,83,86,49
57,Ederson,Manchester City,20,14,14,18,23,15,37,64,48,42,58,41,68,18,20,67,28
58,S. Mané,Liverpool,73,84,62,71,87,74,86,95,86,82,75,84,67,74,87,82,42
59,V. van Dijk,Liverpool,53,52,82,45,70,60,73,74,49,81,85,71,92,64,41,59,88
60,R. Sterling,Manchester City,77,77,38,67,88,70,87,95,93,73,57,78,52,73,87,77,47
61,Roberto Firmino,Liverpool,72,87,77,81,87,80,88,78,81,81,81,90,74,76,87,85,60
62,R. Varane,Real Madrid,36,40,83,42,57,46,77,83,40,52,79,73,84,53,44,56,87
63,M. Verratti,Paris Saint-Germain,72,60,55,64,90,73,88,69,94,56,64,77,52,58,71,87,78
64,Alex Sandro,Juventus,84,55,76,68,80,78,81,83,78,80,79,92,79,72,70,70,81
65,Douglas Costa,Juventus,84,67,50,76,92,84,91,97,91,86,61,78,63,80,76,84,45
66,T. Müller,FC Bayern München,79,87,82,84,75,81,82,73,72,78,81,87,68,80,92,85,44
67,Thiago,FC Bayern München,72,69,54,90,90,85,90,78,86,75,75,75,59,79,79,86,67
68,M. Reus,Borussia Dortmund,79,87,49,90,87,89,86,86,81,88,70,73,67,86,88,86,47
69,Azpilicueta,Chelsea,81,46,76,51,69,68,77,76,73,68,76,87,71,60,62,74,88
70,L. Bonucci,Juventus,44,48,86,58,69,56,75,57,52,74,85,71,83,65,38,74,90
71,T. Alderweireld,Tottenham Hotspur,64,45,82,38,62,63,74,61,50,78,84,74,79,65,58,67,90
72,M. Pjanić,Juventus,80,60,60,72,86,86,89,66,79,78,61,78,66,82,70,88,75
73,M. Benatia,Juventus,45,47,83,44,64,34,64,65,53,66,85,69,91,24,38,47,89
74,M. Özil,Arsenal,83,73,54,80,84,84,90,72,70,70,48,69,57,75,83,91,24
75,Fernandinho,Manchester City,68,69,63,74,77,70,82,68,78,83,76,79,76,78,70,75,85
76,Iniesta,Vissel Kobe,77,70,54,74,90,80,92,70,84,65,47,55,58,71,81,93,67
77,M. Škriniar,Inter,40,42,80,40,59,34,67,70,48,50,78,77,83,30,30,57,92
78,S. Milinković-Savić,Lazio,64,80,86,74,86,78,87,68,59,83,85,85,88,80,79,85,75
79,Marco Asensio,Real Madrid,82,82,50,79,86,83,85,85,76,86,58,76,61,88,82,84,40
80,N. Fekir,Olympique Lyonnais,83,82,49,77,90,81,89,79,91,84,69,80,82,82,81,81,31
81,Alisson,Liverpool,17,13,19,20,27,19,30,54,37,21,52,32,78,14,13,66,15
82,J. Kimmich,FC Bayern München,90,66,74,61,80,81,85,78,83,75,79,85,65,69,80,79,75
83,Saúl,Atlético Madrid,69,78,83,76,83,72,85,74,69,78,79,86,77,79,82,82,77
84,R. Mahrez,Manchester City,81,80,48,72,91,84,90,88,88,79,61,76,54,81,80,81,45
85,D. Alaba,FC Bayern München,81,63,75,68,79,78,83,79,77,83,82,87,71,82,76,77,80
86,Koke,Atlético Madrid,86,72,61,56,82,85,86,71,78,84,61,90,79,81,84,87,80
87,A. Lacazette,Arsenal,64,88,73,81,85,74,83,81,85,83,76,79,73,75,86,76,29
88,K. Manolas,Roma,27,10,80,16,54,30,65,80,59,40,86,76,82,12,25,22,86
89,N. Otamendi,Manchester City,52,54,85,57,51,50,70,57,62,69,92,67,80,56,51,53,83
90,Parejo,Valencia CF,84,79,61,72,78,89,84,51,72,78,51,78,72,82,81,86,69
91,Paulinho,Guangzhou Evergrande Taobao FC,64,81,85,75,82,66,84,73,66,83,90,92,81,80,84,78,75
92,W. Szczęsny,Juventus,12,12,16,14,11,16,22,51,51,15,71,45,65,14,14,48,20
93,A. Sánchez,Manchester United,77,80,73,83,87,79,86,86,87,84,87,83,72,81,84,82,38
94,Y. Brahimi,FC Porto,79,76,46,73,93,84,86,87,87,69,72,85,49,76,83,79,51
95,J. Boateng,FC Bayern München,69,34,85,52,64,53,70,67,52,78,74,69,91,58,47,75,84
96,A. Vidal,FC Barcelona,76,75,82,78,76,76,82,60,75,86,85,83,79,85,80,80,82
97,I. Perišić,Inter,83,79,80,81,84,73,85,84,74,84,84,89,78,79,85,79,64
98,E. Džeko,Roma,63,89,84,77,76,65,84,65,36,86,66,76,80,79,89,74,58
99,S. Khedira,Juventus,72,72,76,78,81,68,84,54,54,82,68,78,87,78,79,82,80
100,Diego Costa,Atlético Madrid,65,87,82,81,77,62,83,74,53,83,64,76,92,74,87,74,58
101,R. Nainggolan,Inter,73,75,59,75,80,73,85,78,82,84,76,93,77,86,86,76,83
102,Naldo,FC Schalke 04,45,57,94,60,60,52,68,60,36,92,45,61,83,82,53,59,86
103,B. Matuidi,Juventus,75,64,68,72,78,65,79,79,79,78,84,94,76,70,72,76,85
104,Miranda,Inter,48,43,80,51,67,32,73,66,57,70,82,65,79,41,43,58,90
105,K. Benzema,Real Madrid,75,81,80,82,83,79,86,76,66,81,73,75,80,75,86,85,47
106,Filipe Luís,Atlético Madrid,86,59,72,56,77,74,83,76,62,71,71,89,74,60,71,70,78
107,V. Kompany,Manchester City,61,45,84,46,63,61,70,52,41,75,72,66,87,55,41,59,87
108,Pepe,Beşiktaş JK,46,46,80,23,58,44,62,65,49,63,76,60,86,56,40,48,86
109,Z. Ibrahimović,LA Galaxy,73,86,83,86,79,82,84,58,39,90,68,61,86,82,85,79,28
110,D. Sánchez,Tottenham Hotspur,36,40,80,28,63,30,73,72,55,66,73,76,83,44,34,49,84
111,J. Giménez,Atlético Madrid,47,37,81,30,47,36,56,69,43,72,92,67,85,48,24,27,88
112,Alex Telles,FC Porto,89,65,74,67,82,87,82,84,70,80,81,92,68,75,76,74,80
113,A. Laporte,Manchester City,58,45,85,40,59,61,73,62,55,68,75,67,82,47,54,57,85
114,Bruno Fernandes,Sporting CP,84,73,58,84,83,85,85,79,78,87,72,89,67,88,79,86,63
115,N. Süle,FC Bayern München,30,20,86,31,42,28,63,52,33,77,38,65,94,62,26,30,82
116,A. Martial,Manchester United,76,84,69,74,87,84,86,88,81,84,74,75,75,80,83,73,38
117,D. Alli,Tottenham Hotspur,69,83,77,79,83,75,85,73,62,78,67,90,71,80,86,85,70
118,Fabinho,Liverpool,79,66,75,47,76,71,82,69,67,78,75,92,79,65,70,75,83
119,Marquinhos,Paris Saint-Germain,72,33,80,31,59,49,76,73,68,53,86,75,74,35,46,51,85
120,William Carvalho,Real Betis,68,52,73,50,80,79,79,49,51,59,69,84,90,55,64,83,84
121,Jorginho,Chelsea,75,57,56,71,82,75,85,75,73,71,58,79,66,62,72,87,63
122,F. Thauvin,Olympique de Marseille,83,81,75,74,85,86,86,87,71,83,76,83,66,82,83,80,46
123,Carvajal,Real Madrid,83,41,70,34,76,72,83,79,79,64,76,84,74,36,61,57,83
124,M. Depay,Olympique Lyonnais,79,79,65,74,85,85,85,87,79,87,74,79,80,81,83,82,29
125,H. Son,Tottenham Hotspur,78,85,65,79,88,81,85,88,76,86,63,85,63,88,85,80,48
126,A. Lopes,Olympique Lyonnais,19,18,16,13,15,15,21,63,62,20,82,36,73,18,9,48,13
127,S. de Vrij,Inter,49,25,80,27,63,45,71,67,59,65,76,66,80,60,32,59,88
128,M. Perin,Juventus,11,11,12,19,19,15,23,57,30,23,75,30,52,17,12,44,20
129,J. Cuadrado,Juventus,80,67,58,70,90,78,85,89,82,84,75,78,61,80,78,76,63
130,Iago Aspas,RC Celta,80,88,78,83,86,80,85,85,74,79,68,75,60,82,86,75,39
131,B. Leno,Arsenal,9,9,13,10,16,9,22,46,44,23,73,43,68,14,7,54,27
132,N. Matić,Manchester United,71,64,74,73,80,72,79,52,50,83,67,84,85,75,69,73,83
133,L. Hrádecký,Bayer 04 Leverkusen,11,11,11,9,10,11,20,38,39,14,69,34,55,14,9,53,10
134,Illarramendi,Real Sociedad,68,72,51,58,78,76,83,66,75,69,63,77,68,76,79,86,69
135,K. Walker,Manchester City,81,51,74,57,79,76,78,86,72,86,83,89,75,69,67,69,78
136,I. Gündoğan,Manchester City,74,73,50,75,85,81,86,67,78,77,61,69,72,73,79,86,73
137,José Callejón,Napoli,82,78,65,84,82,73,85,88,80,78,73,91,55,80,88,78,64
138,A. Di María,Paris Saint-Germain,83,72,51,77,86,84,85,85,77,83,72,73,60,77,82,82,35
139,M. Mandžukić,Juventus,72,84,90,86,76,64,77,67,53,80,85,83,85,60,90,74,59
140,Willian,Chelsea,76,77,31,59,88,82,84,91,79,79,41,85,60,81,80,83,43
141,Sergio Asenjo,Villarreal CF,24,14,13,15,15,23,14,59,58,24,73,41,73,13,12,46,24
142,E. Banega,Sevilla FC,80,66,49,65,84,83,86,68,83,74,57,74,67,78,75,88,75
143,A. Witsel,Borussia Dortmund,69,71,80,77,78,69,84,67,60,78,76,86,82,74,75,79,80
144,D. Payet,Olympique de Marseille,87,78,59,77,86,90,90,75,80,80,48,73,72,82,79,87,32
145,Jonas,SL Benfica,70,88,84,85,84,85,88,65,69,84,69,66,63,85,87,83,31
146,Sokratis,Arsenal,47,44,85,46,58,29,58,64,64,77,86,69,86,48,49,45,85
147,S. Ruffier,AS Saint-Étienne,11,11,12,13,12,17,15,45,55,21,72,37,76,11,12,49,13
148,Falcao,AS Monaco,55,86,89,84,75,83,82,69,75,79,91,68,75,80,88,70,39
149,K. Schmeichel,Leicester City,18,12,16,15,12,13,40,59,47,36,60,34,64,14,13,59,14
150,Raúl Albiol,Napoli,38,27,77,31,59,53,71,54,56,65,77,55,82,53,30,57,89
151,A. Gómez,Atalanta,82,76,38,72,89,79,87,94,94,76,70,75,48,79,81,85,50
152,A. Barzagli,Juventus,40,21,72,35,64,50,65,61,64,54,81,53,83,39,28,62,94
153,Quaresma,Beşiktaş JK,92,67,41,80,89,94,88,84,84,79,63,65,55,80,78,84,29
154,A. Robben,FC Bayern München,80,85,51,86,89,90,88,83,90,86,60,64,67,86,84,80,30
155,O. Dembélé,FC Barcelona,78,78,43,76,90,78,83,93,85,83,59,73,46,70,79,84,42
156,Gabriel Jesus,Manchester City,66,84,74,72,86,76,85,87,91,78,77,84,68,73,88,77,53
157,Ronaldo Cabrais,Grêmio,83,74,64,76,85,86,83,88,76,82,64,86,70,78,82,83,24
158,Josué Chiamulera,Grêmio,40,38,83,44,56,45,70,83,68,53,69,76,73,41,38,42,85
159,Louri Beretta,Atlético Mineiro,56,85,83,82,75,59,74,79,55,85,84,56,87,82,83,58,26
160,P. Kimpembe,Paris Saint-Germain,62,31,79,33,58,50,78,75,65,55,77,80,84,39,39,60,80
161,N. Keïta,Liverpool,62,74,42,71,88,64,88,78,90,76,53,82,58,73,74,81,68
162,C. Tolisso,FC Bayern München,67,75,82,62,77,66,81,75,74,82,90,87,77,81,79,80,75
163,T. Lemar,Atlético Madrid,83,75,54,78,85,85,86,86,86,79,71,79,63,76,77,85,55
164,K. Coman,FC Bayern München,81,76,52,77,88,84,83,95,84,77,75,76,61,73,79,75,29
165,J. Tah,Bayer 04 Leverkusen,35,20,80,24,55,30,64,64,44,44,72,63,93,25,27,61,80
166,Anderson Talisca,Guangzhou Evergrande Taobao FC,78,80,77,76,82,86,84,77,65,84,58,76,72,88,86,81,55
167,T. Werner,RB Leipzig,69,87,76,82,83,62,84,93,76,74,78,83,59,67,85,61,39
168,A. Rabiot,Paris Saint-Germain,70,69,77,72,79,73,83,73,72,80,73,82,80,79,76,80,70
169,L. Goretzka,FC Bayern München,75,72,75,68,81,76,83,84,70,77,67,86,70,78,77,82,70
170,Q. Promes,Sevilla FC,79,86,60,69,84,75,82,90,79,82,82,83,61,83,79,81,36
171,H. Ziyech,Ajax,84,68,53,77,83,90,83,76,78,80,38,86,59,75,75,88,52
172,Lucas Vázquez,Real Madrid,86,73,52,54,82,82,83,84,84,82,68,90,57,80,81,83,42
173,Y. Carrasco,Dalian YiFang FC,78,79,53,68,88,81,87,89,71,84,68,74,59,75,81,71,58
174,Gerard Moreno,Villarreal CF,61,83,80,79,78,71,81,77,69,81,72,72,74,77,83,58,43
175,Felipe,FC Porto,45,39,81,44,57,32,62,60,57,46,90,78,86,41,34,50,85
176,M. Kovačić,Chelsea,73,62,42,76,88,78,89,84,85,79,63,82,65,75,69,88,69
177,Kepa,Chelsea,25,11,17,18,10,25,16,34,39,25,71,37,51,14,15,55,19
178,Manu Trigueros,Villarreal CF,72,71,74,63,80,80,83,68,72,81,77,77,63,80,77,84,70
179,S. Gnabry,FC Bayern München,74,81,46,83,87,64,83,92,88,85,64,68,68,81,80,74,45
180,J. Pickford,Everton,17,19,15,20,14,18,40,53,55,31,72,45,70,13,18,68,16
181,S. Savić,Atlético Madrid,35,34,85,27,47,34,68,55,49,43,87,58,77,31,29,41,86
182,J. Stones,Manchester City,62,29,83,27,69,47,80,67,59,46,75,79,77,38,48,67,85
183,Suso,Milan,84,70,50,72,88,87,89,83,84,78,50,77,56,87,76,84,50
184,J. Draxler,Paris Saint-Germain,83,78,65,84,88,78,89,78,75,86,75,69,66,82,79,84,39
185,Felipe Anderson,West Ham United,79,71,44,68,90,71,88,93,88,83,38,72,53,84,73,79,47
186,Lucas Moura,Tottenham Hotspur,75,78,50,70,88,69,81,94,90,79,77,75,59,76,80,74,31
187,Danilo Pereira,FC Porto,50,61,78,55,76,48,78,63,60,76,67,83,89,65,69,73,83
188,Nacho Fernández,Real Madrid,70,32,82,38,55,55,78,70,68,54,81,78,79,28,37,53,75
189,T. Horn,1. FC Köln,19,13,14,14,20,12,22,45,31,22,64,31,67,17,15,55,14
190,Allan,Napoli,70,72,59,56,82,65,80,81,80,70,70,95,77,66,79,79,85
191,F. Acerbi,Lazio,25,37,80,39,65,62,72,65,35,75,68,81,83,60,20,65,87
192,Sergi Roberto,FC Barcelona,85,63,72,50,78,74,83,78,74,65,47,85,69,66,69,83,75
193,Rodrigo,Valencia CF,72,78,80,77,82,83,82,88,77,83,78,78,72,76,83,74,44
194,Pizzi,SL Benfica,79,76,45,77,80,83,82,82,77,75,67,86,59,78,84,85,66
195,K. Kampl,RB Leipzig,72,63,34,68,86,78,84,84,80,69,67,88,47,73,73,82,65
196,Neto,Valencia CF,11,15,14,12,19,12,24,53,49,28,80,39,63,20,11,42,17
197,O. Baumann,TSG 1899 Hoffenheim,14,11,16,11,19,12,17,47,43,21,73,39,69,13,10,41,15
198,I. Gueye,Everton,60,50,69,32,75,33,79,76,80,80,87,89,70,66,67,67,84
199,H. Mkhitaryan,Arsenal,77,74,53,81,84,83,86,84,85,85,69,83,62,73,82,84,41
200,Marcos Alonso,Chelsea,85,68,83,70,79,85,83,69,58,84,71,90,76,77,79,69,79
201,D. Subašić,AS Monaco,11,10,13,13,11,24,19,51,37,24,75,32,80,14,15,52,14
202,K. Glik,AS Monaco,29,27,85,17,51,35,59,50,51,57,81,67,90,20,24,23,82
203,K. Strootman,Olympique de Marseille,74,68,68,63,75,75,84,65,68,81,53,79,81,70,78,79,75
204,B. Dost,Sporting CP,38,87,94,85,68,61,74,49,32,82,51,82,92,72,89,68,38
205,Oscar,Shanghai SIPG FC,74,76,54,63,78,77,84,75,80,80,64,76,38,77,79,83,66
206,M. Balotelli,OGC Nice,68,85,67,78,81,78,85,76,50,89,74,66,86,79,79,74,10
207,Luiz Gustavo,Olympique de Marseille,63,48,72,54,68,42,73,65,62,80,76,85,81,73,53,69,82
208,Giuliano,Al Nassr,77,79,59,65,84,67,84,85,85,78,61,82,74,76,81,80,49
209,David Luiz,Chelsea,68,55,81,63,66,70,79,59,56,79,78,66,79,73,54,69,79
210,R. Fährmann,FC Schalke 04,14,11,15,11,15,18,24,38,36,24,72,32,79,9,11,42,10
211,Juan Mata,Manchester United,83,78,56,71,82,84,88,69,89,75,70,71,37,72,83,85,42
212,Adán,Atlético Madrid,12,11,23,15,12,11,15,56,51,25,71,32,77,12,11,42,20
213,Rui Patrício,Wolverhampton Wanderers,12,12,11,17,20,10,23,53,54,38,79,45,77,11,13,64,14
214,Y. Sommer,Borussia Mönchengladbach,13,13,10,8,15,12,25,48,58,23,73,45,68,12,15,58,9
215,Javi Martínez,FC Bayern München,60,43,87,58,60,46,74,49,48,76,85,74,84,62,51,75,85
216,L. Bender,Bayer 04 Leverkusen,69,59,78,57,72,49,75,66,63,74,77,86,76,71,69,76,88
217,Lucas Leiva,Lazio,63,62,72,59,77,74,78,67,80,77,82,80,67,66,66,81,82
218,S. Mandanda,Olympique de Marseille,14,13,13,13,15,13,17,53,36,24,74,31,61,11,11,55,13
219,Cesc Fàbregas,Chelsea,85,72,74,81,79,78,85,56,75,77,63,56,61,70,72,91,64
220,M. Dembélé,Tottenham Hotspur,65,66,70,73,89,65,89,72,76,81,75,70,89,70,70,80,75
221,F. Ribéry,FC Bayern München,80,74,41,79,84,83,87,78,90,75,34,58,60,71,77,84,31
222,R. Jarstein,Hertha BSC,18,13,16,16,11,10,23,40,45,21,59,31,70,18,15,37,12
223,D. De Rossi,Roma,57,50,81,74,64,62,77,63,72,81,77,74,81,72,55,71,90
224,Pepe Reina,Milan,11,14,13,11,10,11,23,50,60,24,73,34,72,15,13,65,20
225,J. Pavlenka,SV Werder Bremen,11,16,14,19,12,10,19,35,27,21,36,20,68,17,14,25,12
226,M. de Ligt,Ajax,57,53,81,40,65,48,73,62,59,79,80,74,87,64,44,63,84
227,Rodri,Atlético Madrid,63,64,75,59,77,65,82,70,72,70,69,86,75,76,75,83,71
228,Arthur,FC Barcelona,70,72,58,63,82,68,83,68,86,76,83,78,62,74,77,82,65
229,G. Donnarumma,Milan,12,12,12,8,28,12,28,46,38,24,72,34,72,18,14,50,20
230,Rosberto Dourado,Atlético Mineiro,61,53,70,57,77,54,76,80,80,60,43,93,68,59,58,77,83
231,Juiano Mestres,Cruzeiro,40,56,83,63,60,72,64,68,63,74,91,76,79,61,58,50,77
232,Raphaelito Anjos,Grêmio,10,8,11,8,9,9,21,41,41,21,67,29,79,7,27,71,20
233,Gelson Martins,Atlético Madrid,81,66,51,74,85,82,83,95,92,72,65,87,48,69,82,79,54
234,Gonçalo Guedes,Valencia CF,76,75,60,71,86,76,81,89,78,81,65,81,62,77,77,77,24
235,L. Torreira,Arsenal,74,50,55,65,78,66,81,81,93,78,52,85,66,74,65,74,84
236,Malcom,FC Barcelona,79,75,57,71,85,77,85,87,84,85,58,74,64,85,79,83,21
237,Pau López,Real Betis,24,19,15,17,18,23,16,45,57,21,68,42,52,18,20,62,19
238,L. Hernández,Atlético Madrid,78,42,83,38,65,53,79,80,67,62,83,82,76,47,57,61,76
239,C. Lenglet,FC Barcelona,36,23,78,24,60,25,76,72,60,58,79,73,80,35,47,60,85
240,A. Kramarić,TSG 1899 Hoffenheim,75,86,69,84,87,79,86,78,82,82,69,76,68,80,84,66,35
241,A. Robertson,Liverpool,86,57,63,32,76,74,78,81,74,67,59,89,66,60,66,74,80
242,Dani García,Athletic Club de Bilbao,55,51,46,52,66,61,81,53,72,74,65,88,75,58,60,76,72
243,F. Bernardeschi,Juventus,82,70,50,74,86,82,87,83,79,82,49,80,63,82,78,80,65
244,J. Brandt,Bayer 04 Leverkusen,77,78,42,66,87,72,85,78,78,80,63,73,69,78,78,83,38
245,D. Rugani,Juventus,40,33,80,35,64,45,65,56,53,58,81,67,79,39,28,50,87
246,Samu Castillejo,Milan,81,77,43,58,85,78,83,85,78,78,63,55,50,73,81,81,45
247,João Cancelo,Juventus,85,58,64,62,84,83,83,91,74,80,73,89,66,66,78,74,79
248,A. Romagnoli,Milan,36,30,76,28,65,36,69,63,53,64,78,75,81,46,31,40,88
249,T. Partey,Atlético Madrid,58,63,68,53,78,62,81,73,53,79,84,87,81,75,60,73,80
250,Fred,Manchester United,67,74,55,70,79,70,86,77,87,76,83,87,61,76,69,76,76
251,J. Vardy,Leicester City,64,85,69,82,76,60,76,89,76,85,76,86,67,67,85,72,56
252,A. Belotti,Torino,42,88,84,80,78,64,75,78,75,81,83,83,84,67,85,61,55
253,E. Forsberg,RB Leipzig,84,70,45,67,82,81,87,76,82,73,53,74,62,74,75,83,35
254,J. Lingard,Manchester United,74,78,64,70,83,80,83,84,86,80,63,87,53,80,86,82,65
255,F. Vázquez,Sevilla FC,73,74,68,81,86,79,87,58,39,76,44,61,79,84,77,84,46
256,E. Višća,Medipol Başakşehir FK,80,80,45,74,82,74,82,90,88,79,69,84,58,77,80,73,55
257,A. Rüdiger,Chelsea,68,27,80,34,59,35,69,67,50,70,73,60,82,41,33,57,82
258,A. Florenzi,Roma,77,70,72,87,78,73,79,86,82,82,74,90,67,82,82,76,76
259,H. Maguire,Leicester City,44,43,87,41,70,38,76,39,58,68,74,68,89,45,60,60,81
260,T. Meunier,Paris Saint-Germain,83,76,75,79,75,74,82,74,49,77,72,92,85,78,80,71,77
261,S. Sané,FC Schalke 04,57,38,88,26,64,33,70,62,37,77,47,69,88,55,48,62,78
262,G. Kondogbia,Valencia CF,65,69,75,59,78,62,82,69,67,86,83,85,91,80,78,78,79
263,Rafinha,FC Barcelona,72,73,55,76,87,75,84,71,80,79,73,67,66,82,77,81,68
264,Gabriel Paulista,Valencia CF,67,42,81,48,60,57,69,71,67,61,83,72,82,50,51,65,82
265,Morata,Chelsea,73,80,86,80,83,76,82,76,60,80,84,68,78,72,85,76,37
266,J. Cillessen,FC Barcelona,17,10,12,19,12,10,32,54,50,35,71,40,67,15,11,60,18
267,W. Ben Yedder,Sevilla FC,74,84,74,78,84,80,83,87,87,79,81,69,60,69,87,79,34
268,C. Bakambu,Beijing Sinobo Guoan FC,74,84,71,80,80,78,82,88,72,84,79,79,76,74,85,73,32
269,Pablo Sarabia,Sevilla FC,86,78,61,64,86,84,84,75,81,76,40,72,58,77,79,84,57
270,W. Zaha,Crystal Palace,81,77,47,61,90,57,87,89,82,78,57,76,75,68,78,77,22
